"xtmp","power_x","power_x_l","power_x_u","power_x_cl","power_x_cu","precision_x","precision_x_l","precision_x_u","precision_x_cl","precision_x_cu","no_clusters_x","no_clusters_l","no_clusters_u","no_clusters_cl","no_clusters_cu"
1,0.115433780543816,0.115746795098855,0.114901919501795,0.115548781920906,0.115376509146447,928.632833009356,932.554069073104,921.971695408389,930.07340955797,927.915453298966,1,1,1,1,1
2,0.185113861087127,0.187304865593607,0.180629661385903,0.185373461502525,0.184999334667414,1811.0713452376,1839.01074447207,1753.92063471662,1814.38120715818,1809.61119741697,1,1,1,1,1
3,0.251027986392214,0.256105112487007,0.240662006026942,0.251322248591315,0.250929376148621,2657.2196052743,2723.0193315971,2523.21093997963,2661.03020242965,2655.94271809797,1,1,1,1,1
4,0.313250712670318,0.321817947658896,0.295824175436584,0.313423529129946,0.313260574117199,3473.013572064,3587.2565648359,3242.23236371786,3475.31271878627,3473.14476275982,1,1,1,1,1
5,0.371535008082648,0.383881191121163,0.346418550801909,0.371431719452258,0.371740579582472,4262.38407683283,4433.75361140062,3918.54037212635,4260.95724241054,4265.2241825772,1,1,1,1,1
6,0.425740107339314,0.441916656900673,0.392721841510602,0.425229515046987,0.426212854878108,5028.13660069684,5264.09693739136,4557.50311737942,5020.74968199763,5034.97923944437,1,1,1,1,1
7,0.475855827321705,0.49574091069855,0.435036167837921,0.474838254036499,0.476648190404495,5772.392242904,6079.5568586239,5163.26967051973,5756.86974260568,5784.49209121795,1,1,1,1,1
8,0.521974052168988,0.545324374338262,0.473679016953971,0.520382071566505,0.523119788689049,6496.82843085158,6881.17273718379,5739.20865720351,6471.08595278096,6515.39021571705,1,1,1,1,1
9,0.564257167708826,0.59074914172773,0.508967802298497,0.56205272202607,0.565773389995493,7202.81948858737,7669.81117245307,6288.13997334526,7164.87524264225,7228.99572690176,1,1,1,1,1
10,0.602912172084997,0.632174156728182,0.541208421680596,0.600082155167416,0.604802044505002,7891.52336290538,8446.20680376669,6812.47228311435,7839.49976970044,7926.41583323963,1,1,1,1,1
11,0.638171163494948,0.669808264919023,0.570688342111308,0.634722609973798,0.640426709414967,8563.93764174725,9210.99158816908,7314.29221695541,8496.05828296391,8608.60037204028,1,1,1,1,1
12,0.670277223636497,0.703889968022749,0.597673115125653,0.666232704237258,0.672881957506215,9220.93717978705,9964.71624218587,7795.42631765509,9135.52166888683,9276.3799402792,1,1,1,1,1
13,0.699474509884984,0.734672519649773,0.622405190423284,0.694868020532258,0.70240576268356,9863.30024115545,10707.8662337746,8257.48634760168,9758.75830638141,9930.4920783726,1,1,1,1,1
14,0.726001517875031,0.762413164816842,0.64510416380293,0.720874971864943,0.729232410527291,10491.7272132585,11440.8739065708,8701.90375412541,10366.5526446565,10571.5998178248,1,1,1,1,1
15,0.75008668532548,0.787365548769118,0.665967861607811,0.744487018886023,0.753587752302779,11106.8543627802,12164.1278089215,9129.95668331466,10959.6191461013,11200.3051873893,1,1,1,1,1
16,0.771945699186457,0.809774525563181,0.685173867787676,0.765922549013113,0.775686189177279,11709.2641909755,12877.979969382,9542.79164568124,11538.6129790913,11817.1592945983,1,1,1,1,1
17,0.791780024468652,0.829872767058033,0.702881242736148,0.785383911933279,0.79572891614169,12299.4933984577,13582.7516409226,9941.44120656177,12104.1383799525,12422.670021254,1,1,1,1,1
18,0.809776295276284,0.847878709129544,0.719232279399647,0.803057244205866,0.813903069454917,12878.0391320388,14278.7378876658,10326.8386371686,12656.7553088376,13017.308018155,1,1,1,1,1
19,0.826106302047541,0.863995479137719,0.734354205475094,0.819112818108508,0.830381510537595,13445.3639718717,14966.2112857762,10699.8301883197,13196.9848332838,13601.5114621485,1,1,1,1,1
20,0.840927379710586,0.878410532436415,0.748360781369813,0.833705725191797,0.845323047682615,14001.8999777166,15645.4249385889,11061.185469972,13725.3135465223,14175.6898952605,1,1,1,1,1
21,0.854383054545058,0.891295790862587,0.761353769478913,0.846976760131479,0.858872949035875,14548.0520204089,16316.6149552446,11411.6062984779,14242.1972418107,14740.2273710388,1,1,1,1,1
22,0.866603847172854,0.902808126652351,0.773424266366692,0.859053410646902,0.871163639682156,15084.2005616553,16980.0025054867,11751.7342887104,14748.064004867,15295.4850694829,1,1,1,1,1
23,0.877708158555128,0.913090074281712,0.784653899056884,0.870050888424095,0.882315505288583,15610.7040017747,17635.7955365705,12082.1574072282,15243.3168449323,15841.8034981504,1,1,1,1,1
24,0.887803187656981,0.92227068283029,0.795115892124396,0.880073157061149,0.892437746922403,16127.9006844103,18284.1902185118,12403.4156577363,15728.3359553688,16379.5043664383,1,1,1,1,1
25,0.8969858454713,0.930466444589082,0.804876015141192,0.889213928199871,0.901629248162431,16636.1106254025,18925.3721691884,12716.0060363067,16203.48067326,16908.8921983306,1,1,1,1,1
26,0.905343641817712,0.937782253324382,0.813993421247004,0.897557607812451,0.909979427841066,17135.6370171972,19559.517499709,13020.3868679437,16669.091191762,17430.2557332664,1,1,1,1,1
27,0.912955529845191,0.944312359080328,0.822521387832379,0.905180182246613,0.917569060739429,17626.7675485528,20186.7937120159,13316.9816159559,17125.4900672726,17943.8691533642,1,1,1,1,1
28,0.919892699290649,0.950141296599548,0.830507969951923,0.912150038959894,0.92447105511365,18109.7755706864,20807.3604741992,13606.1822397244,17572.9835547084,18449.9931668014,1,1,1,1,1
29,0.926219313898585,0.955344772106061,0.837996576395214,0.918528720526898,0.930751180664938,18584.9211345082,21421.3702939724,13888.3521638067,18011.8627975043,18948.8759708274,1,1,1,1,1
30,0.931993191452196,0.959990498905405,0.8450264774987,0.924371612948304,0.936468743941202,19052.4519186598,22028.9691068403,14163.8289111195,18442.4048938206,19440.7541131091,1,1,1,1,1
31,0.937266426950973,0.964138976465741,0.851633252887993,0.929728570868422,0.941677210522832,19512.6040642851,22630.2967924007,14432.9264446578,18864.8738564663,19925.8532664506,1,1,1,1,1
32,0.942085960852521,0.967844210701942,0.857849186457981,0.934644483269083,0.946424774962931,19965.6029295165,23225.4876297792,14695.9372554175,19279.5214809263,20404.388929105,1,1,1,1,1
33,0.946494095170413,0.971154375366332,0.863703615063401,0.939159783734323,0.950754880521169,20411.6637743583,23814.6707012492,14953.1342285863,19686.5881334153,20876.5670606874,1,1,1,1,1
34,0.950528960728603,0.97411241596695,0.869223236623119,0.943310909605479,0.954706691399296,20850.9923848246,24397.9702515289,15204.7723154207,20086.303468917,21342.5846619699,1,1,1,1,1
35,0.95422493912261,0.976756598651434,0.874432382644644,0.947130714366409,0.958315520566569,21283.785643737,24975.5060089799,15451.090034339,20478.8870875862,21802.6303054534,1,1,1,1,1
36,0.957613043006846,0.979121007138957,0.879353259552455,0.950648837483009,0.961613216438206,21710.2320544214,25547.3934739186,15692.3108215047,20864.5491366065,22256.8846225106,1,1,1,1,1
37,0.960721258273585,0.981235991151463,0.884006162651568,0.953892035719998,0.964628511701059,22130.5122225931,26113.7441784103,15928.6442484255,21243.4908635593,22705.5207520044,1,1,1,1,1
38,0.963574851554259,0.983128569963834,0.888409666071574,0.956884479706076,0.967387337513771,22544.7993009504,26674.6659212331,16160.2871217652,21615.9051264885,23148.7047545568,1,1,1,1,1
39,0.966196646288501,0.984822794717484,0.892580791610144,0.959648019241192,0.969913106177214,22953.2594003567,27230.2629811391,16387.424478589,21981.976865144,23586.5959960506,1,1,1,1,1
40,0.968607270392329,0.986340073066554,0.896535159022665,0.962202420553515,0.972226965199398,23356.051970973,27780.6363110669,16610.2304885719,22341.8835372873,24019.3475034572,1,1,1,1,1
41,0.970825378329574,0.987699459582998,0.900287119980152,0.964565578430484,0.974348025484933,23753.3301562518,28325.8837155809,16828.8692732555,22695.7955234461,24447.1062956697,1,1,1,1,1
42,0.972867850160871,0.988917915160627,0.903849877635116,0.96675370587548,0.976293566174981,24145.2411223476,28866.1000134779,17043.4956511951,23043.8765030864,24870.0136916876,1,1,1,1,1
43,0.97474996991938,0.990010538446854,0.907235593489546,0.968781503683732,0.978079218458201,24531.9263651795,29401.377187243,17254.2558167673,23386.2838048154,25288.2055982024,1,1,1,1,1
44,0.97648558544672,0.990990772107262,0.910455483045893,0.970662312090797,0.979719130472486,24913.5219971235,29931.8045207946,17461.2879594875,23723.1687329215,25701.8127783987,1,1,1,1,1
45,0.978087251619243,0.991870586501977,0.913519901536463,0.972408246425373,0.981226115225022,25290.159015082,30457.4687267786,17664.7228298775,24054.6768723008,26110.9611035705,1,1,1,1,1
46,0.979566358705367,0.99266064313044,0.916438420865743,0.974030318495587,0.98261178327703,25661.9635514899,30978.4540644984,17864.6842572331,24380.9483735926,26515.7717889808,1,1,1,1,1
47,0.980933247419898,0.993370439987299,0.91921989876009,0.975538545253869,0.983886661770551,26029.0571096449,31494.8424494322,18061.2896240311,24702.1182201564,26916.3616152352,1,1,1,1,1
48,0.982197312081189,0.994008440769442,0.92187254099759,0.976942046119109,0.985060301218576,26391.5567846087,32006.7135551725,18254.6503011869,25018.3164783484,27312.8431363093,1,1,1,1,1
49,0.983367093131139,0.994582189684536,0.924403957484897,0.978249130185039,0.986141371336602,26749.5754707992,32514.144908515,18444.8720479081,25329.6685324129,27705.3248752563,1,1,1,1,1
50,0.984450360145898,0.995098413435617,0.92682121285565,0.979467374409375,0.987137747063051,27103.2220572836,33017.2119783432,18632.055379487,25636.295305175,28093.9115085173,1,1,1,1,1
